comment,video_sentiment
Thanks for clear explanation with making the video lengthy,pos
ive watched like five videos on this an I couldnt do any of them. But then I watched this video and it was really short and simple. It worked perfectly.,pos
thank you for not making a long pointless intro and just explaining what effects it has and how to fix it. short and simple and straight to the point,pos
Thank you i was having problems with startup apps and now my computer is much faster.,pos
Thank you so much Kevin. It was exactly the information I needed. Straight to the point.,pos
"I search in another lamguage but englosh video comes up first and this is the result, nice..",pos
THANK YOU SO MUCH !!  I just cant understand how this also have to be so hard to do without guide,pos
"Thank you so much. My laptop used to take about a minute to start up, now it takes 5 seconds",pos
Thanks man it really help my CPU usage it went from 100% to mostly below 40%,pos
Thanks!!! My laptop has been doing this since like forever and that was always the reason why I came late to my classes,pos
thank you so much now i don t have to deal with MILLIONS of apps starting up and me closing them,pos
"This was great! Still works in 2021!!! helped me a lot, and was clear about everything, keep up with the good work!",pos
Thank you so much. I was opening a game and it was taking forever and discord kept starting up. Thx so much 🤗🤗🤗,pos
Thanks my Guy. Unbelievable how much unnessacary blaot there was in my case,pos
Oh my god thank you. My boyfriend’s laptop has been getting Microsoft Powershell popups when it starts for so long.,pos
Thanks dude! You are the only one that I found that make by that method.,pos
"Wow, that was incredibly easy. Thank a bunch for the short concise video. Much appreciated.",pos
finnaly someone who go straight to the point! it helped me! Thx,pos
This helped a lot!!! I could not figure out why some apps where loading when I turned on my computer.,pos
Dude I swear this guy helps all the time!!,pos
Thanks this helped so much all my apps opend when I started my pc,pos
This was the best video on this that I have seen. AWESOME Thank You :),pos
"thank you for not making the video long like other people. the only thing you're making long is after you explain how to do it, which i dont mind. the video is almost aroudn 3 minutes, anyways!",pos
Thank you so much it works 🙏🏻🙏🏻👍🏻👍🏻,pos
Thank you! I just got Windows 10 today so I knew only how to do this at Windows 7,pos
Wow i never thought it is that simple. Thank you very much,pos
This is really good quick and straight to the point,pos
thanks for this video and really now my laptop turns on quickly 😍😍😍,pos
"THANKS a lot man.I got a new laptop few days ago,and it not slowed down yet,but its just simply bothered me that when i start my pc several app windows are popping up to my face.THANKS",pos
thank you so much !!! i had allot of apps that started every time i turned on my pc,pos
thanks for the simple vid i had like 8 unnecessary apps starting up everytime so annoying,pos
thanks you so much for this video your so straight to the point and no intro haha!!!,pos
Valuable video without any waste talks,pos
Thanks so much this helped a lot because I just got my pc yesterday,pos
"Thank you so much, I'm so glad you made this video. You made me super happy! I feel much smarter after you in a way taught me this. Thank you so much! Have a good life!",pos
Thank you so so so much I hated my computer because every time I boot it up pretty much not exaggerating about 50 things open up because I use my computer for gaming so personally I have tons of things installed on my computer so I would highly suggest this course of actions thank you very much!😁😁,pos
Simple and easy to follow and helped me out a lot thanks bro,pos
Thanks bro. Coolest and shortest inro ❤️loved it,pos
Nice and quick and VERY useful - thank you!,pos
"Very helpful video, got straight to the point 👍🏽",pos
I wish Microsoft would have made this video pop up by default.. I should have looked this up a long time ago. Thank you!,pos
life saver my computer used to take soo long to start but its much faster thank uuuuuuuuuu,pos
thank you so much dude you saved me from long waiting,pos
thank you so much...it really helps me with the annoying startup  everytime i open my laptop,pos
"thank you so much, i alway got annoyed by all the startups but this helped:)",pos
Omg a can’t believe this help so much I have been up all night trying to fix it,pos
When he said he work at Microsoft I know I could trust this 💯,pos
I can't believe it is this easy!! Thanks man.,pos
short video but very meaningful and helpful too...thanks my G,pos
Thank you. No nonsense. Job done. I appreciate this.,pos
Thx bro. I had no idea it was that simple! 😅,pos
Thank you a lot i was so annoyed from all these start ups thanks a lot!,pos
Great job straight to the point this is all I need to know now 😊,pos
This just helped me solve so much,pos
Nice .. straight to the heart of the information.. top job,pos
"straight to the point, no messing about",pos
Best video when you are drunk and u don't know wtf is happening. Than u start choking from beer. Best experiencew in may life,pos
"Thank you Kevin. My old lagging computer is running faster... like new again. Thanks to your tutorials I've cleaned up a lot baggage
that was obviously slowing it down. I just discovered your channel. I've subscribed  and will visit all your past tutorials
to see what I've missed. Thanks again for sharing your knowledge.",pos
"thanks so much, now i cant wait for 10 minutes just to load all the apps i dotn use, thank you again :D",pos
THANKS SO MUCH NOW MY PC IS ALOT FASTER THANK U U JUST EARNED A SUBSCRIBER,pos
great 3 min video showing what to do Thanks,pos
Thank you. You were really clear and fast!,pos
Grateful with your video. Helped me a lot and fast. Thank you.,pos
Friend thanks for your videos I just found you and you help me to solve a problem on startup program I did not know how to turn it off. I suscribe all ready thanks,pos
It worked.. so simple and straightforward thanks,pos
Thank you Kevin. Very helpful for an old man !!,pos
this helped so much great tutorial thank you for taking the time to make it,pos
I watched the whole video.. it is very understandable and easy.. thank you,pos
Thank you very much for the clear and quick information. A new sub,pos
"🤣🤣🤣 i love what you are doing Otis ,,cant wait to introduce Bakari to her 🤩🤩 she a Queen  and you deserve her ,,,",pos
"Yup this was it, my dad's laptop it's booting in 20% of the time now, thanks!",pos
"now my computer is faster than before, thanks so much",pos
main you came straight to the point you valued my time I value your video with the like button thanks,pos
Thanks you save my life. Good job. Love from sri lanka,pos
"Thank you. I hate having to wait 5 minutes before I can actually open my browser, so annoying!",pos
I like it simple and straight to the point,pos
Great tutorial Kevin.. Thanks for your easy to follow guide. I have liked and subscribed,pos
Thank you so much this helped my pc start up much faster,pos
Thanks. Very straight and simplified. HELPFUL. keep it up.,pos
thank you so much it helped me very quick 😊,pos
"Thank you very much, straight to the point!",pos
you know its a good tutorial video when its only 3 minutes long not 30,pos
"Thank you so much! I wasted 1 hour deleting every file of the software clear the cookie and did everything and when I open the laptop . It always pup uped and I was like... Hell no😞.

Thank you brother",pos
Omg thank you man I was getting so annoyed with my apps turning on by themselves,pos
This was really helpful. Thank you so much! :),pos
"hey man ! thanks for making this video ..same as yours, Microsoft Teams , was distrubing me  a lot  ...x",pos
Thx m8 it realy helped out and improved my streaming and it got it all in the w,pos
"How clean that was, thank you so much for the help! (Thumbs up)",pos
Thanks man i had loads of stuff on startup :),pos
"thank you SO much, i cant believe that i dont have to have everything turning on again. <3",pos
"Though kind of aged because he uses Windows 10, I can confirm that it works just the same on Windows 11. This video is still accurate",pos
Nice video I like your face expressions in the start of the video 😀,pos
thank you so much you helped me alot by this video everyday i open my laptop i just get furious because this happens really appriciate it!,pos
Thank you so much my cpu was on 50% when all the apps started up,pos
"Finally, a video that goes to the point! God !!!",pos
this was actually very helpful. thanks,pos
it helps me a lot thank you for this video i hope a great succes for you bro!,pos
OMG TYSM YOU SAVED MY LIFE IF QUARANTINE IS OVER MY BROTHERS TEACHER WOULD'VE GRAB HER LAPTOP AND SHE WANTS IT FIX AND IM USING MY BROTHERS TEACHER LAPTOP,pos
thanks man it really helps keep making videos,pos
you did it so simply. You are a true god,pos
"thank you so much. Simple, short and helpfull video!",pos
Thank you so much this helped really a lot 👍,pos
Thanks so much my PC took 3 minutes to start up and it was so annoying espically when i needed to be on a zoom meet in 2 mins that I forgot about,pos
"Thank you a lot for your help, this truly helped me out a lot and thank you!!!",pos
"Very helpful, Thank you, my dear, ❤️❤️❤️❤️❤️❤️❤️❤️",pos
Thank you! I like it. very straightforward.,pos
"Thank you, you helped me a lot and saved my time",pos
hey man ty so much i have been dealing with this problem for months so ty,pos
Thank you. I had at least 5 apps startup on initial start up and it was very annoying.,pos
It was very helpful thank you very much I’m not a very computer tech kind of guy this very helpful,pos
I just got how do do just by seeing your thumbnail bye you are very good YouTubed you helped me a lot,pos
super helpful and straight to the point! thanks!,pos
This is so helpful. Thank you❤,pos
This video is very helpful my friend,pos
thank you i had like 10 things popping up when i started my pc now i have 2 things that start on star up when i need,pos
Thx for the help now my laptop starts up way faster,pos
ive probably watched this video 10 times through the past 3 years,pos
THANKS SO MUCH THIS WAS A BIG HELP MUCH APPRECIATED,pos
Thankayou sir 🙏 for this amazing 📹,pos
this man is pure genius!,pos
this guys underrated ngl thanks,pos
"so if you work for microsoft,how can i disable the windows 11 thing when my laptop starts up ,great video by the way",pos
Thank you for the tutorial!,pos
"Thank you so much, that was so helpful🤍",pos
thanks for detailed explanation,pos
Thanks! This really helped! 👍,pos
"Really helpful video, thanks! :)",pos
thank you so much for just getting straight to it!,pos
You just saved me a lot of time and trouble,pos
Nice video now my computer is not slow anymore 😎👍,pos
"Nice, simple, concise..thanks!",pos
thank you so much! I didnt know it was that easy :),pos
"Your very helpful, you deserve more subs",pos
"easy but sometimes forgotten.. Thanks, mate",pos
I love u for this you saved so many lives,pos
"It was so helpful, thanks so much!",pos
Clear and precise - Thanks.,pos
Helped a lot thanks 🙏,pos
very helpfull and fast thank you!!!,pos
Thank you so much and what a great tutorial,pos
Thank you very much! Helped alot,pos
"Thank for this, appreciate it man.",pos
"Very clear, thanks 
❤❤",pos
bro this is a super great vid it really helps,pos
Thanks you very much! worked like a charm.,pos
Thank you this video so helpful for me.......❤,pos
Omg Thank You My Pc Used To Run Like 30 Fps On games and It Helped alot Thank You,pos
thanks this actually helped a lot!!!,pos
Thanks..Simple and to the point...,pos
Bro this video is helpful my computer is now FASTER,pos
"Helped me a lot , thanks",pos
"If you're still having programs start after doing this press CTRL+SHIFT+ESC go to the ""Start Up"" tab (Near the top left), and then look for which program you want to disable, right click the program and then click disable",pos
thank you so much bro it really helps,pos
"Thank man, straight to the point!",pos
Man thank you my pc is like new... new sub 👍,pos
Thanks for the information : Which dekstop are you using and what is the screen size of it ?,pos
"Thanks. When I opened my PC I had to close discord, xbox services, steam, opera gx, and spotify in time, or else my PC would go slower and slower. Thanks!",pos
i dont usally comment on videos but this one was very helpful ,pos
I like your video. it's just simple and straight to point and no time wasting. ❤,pos
"Thanks for making this video.

Its simple, doesn't waste time and it does its job",pos
Thank you so much.  This video was very helpful.,pos
Thank you so much for short out my problem. I was very irritated this kind of shit. Love from India🇮🇳🇮🇳.,pos
"thanks for this video..i have been worying that always when i start my pc,,it was always lag due to Microsoft teams auto start....so many thankz",pos
Thank you for perfect solution it works well!,pos
"Thank you.
Helped a lot",pos
Perfect straight to the point,pos
Thanks Man! Very useful,pos
"Thank you very much, it helps me solve my problem!!:)",pos
Thank you so much..! I was irritated of auto start of chromium and bit torrent..!,pos
Think you soooo much this helped me a ton,pos
video is awsome short and nice helpful thanks,pos
thank you for posting this video,pos
thanks it was so annoying when steam discord spotify started immeaditly when i start my computer,pos
Short and good video!,pos
Thanks for your help. You are awesome.,pos
thanks you very much is was very annoying closing the apps down every time i turned my pc on .,pos
thank you. very helpful,pos
Extraordinary mind blowing fantastic bro,pos
U helped me so much thank you literally,pos
It literally takes more than 10 minutes for my computer to completely boot up now. Hence why I'm here.,pos
"Thanks 
This really helped my problem",pos
Excellent video! Thank you!,pos
"Thanks, Really helpful",pos
"So precise and accurate, thank you",pos
This was so helpful thanks,pos
thank you it was very easy 💓,pos
Thanks dude !!,pos
The bigger issues for me are the vaguely named processes that I have no idea what they are doing or if they’re needed.,pos
"Thanks , very helpful 🙏",pos
"Short, Simple, subscribed.",pos
Thanks for the info Bro....,pos
Thanks that was really helpful,pos
Thnx from India bro🌹❣️,pos
"It would be GALACTICALLY more useful if you went through the apps, types and categories and explained what happens if you do or don't let certain apps start at startup and made useful recommendations.",pos
thanks. simple thing. but we keep forgetting them.,pos
Thank you now I dont have to have like 10 apps run all at once when I boot up my pc,pos
AWESOME and Soooo Easy! Thanks a lot!!!!!,pos
thank you man you helped me alot,pos
Great video helped very  much,pos
This video was very helpful it’s getting a like from me,pos
thanks you so much this help so much much love!!,pos
Thank you for the help!,pos
Many thanx. Really useful,pos
"Thank you, it did help me.",pos
i spent 10 minutes typing start up with a space until i found this video lol,pos
"It really helped, thank you",pos
Thanks man great help,pos
hello sir i really liked your computer monitor:Which model is it ?,pos
bro u saveed my pc 120  times,pos
OMG THANK YOU SO MUTCH NOW I CAN TURN OFF DISCORD AND STEAM THANK YOU BEST VID EVER,pos
Does anybody know how to disable that outlook just automatically opens every time you start the PC? It doesn't show up in the menu the guy showed.,pos
ty man helped me a lot!,pos
THANK YOU I NEEDED THIS!!!!,pos
Thanks kevin! I hate that Steam and Discord start automaticly while I never use them,pos
its not showing all the apps that are starting up that show in task manager like steam and rgb control and i dont know any other ways to disable them?,pos
"THANKS A LOT.
I DOWNLOAD A APP THAT I DELETED BC IT WAS A COPY OF DISCORD AND IT KEEPT OPENING WHEN I OPENED MY LAPTOP.
THANK YOUUUU",pos
"Thank you for a very useful tip.
Could you please explain why Avast Avlaunch Component cannot be turned off in the Startup Apps list? Also please recommend an antivirus app that does not slow down the computer. Avast and , McAfee, Kaspersky, AVG, Panda all seem to slow down the PC/laptop so much that it becomes an exercise in frustration.",pos
"Thank alot , very easy",pos
Thank you so much i had Utorrent 32xbit start on my 64xbit PC even if i didnt have it,pos
Do you have a video of how to synchronize folder and files between two computers?,pos
Ty this helped me so much,pos
Thanks for short video,pos
"Thank you uncle, it workd :)",pos
Helped big timee! 🙏,pos
"Thanks bro, really helped
:)",pos
Man thanks Do u know how to fix High CPU usage,pos
short and precise and effective and important and......,pos
its really helps ..thank you,pos
"Thank you, very helpful :D",pos
"Thank cap, very helpful.",pos
"Thank you this helped me, u just got a like",pos
thanks man u helped me alot,pos
Thanks for the tip. 🔥,pos
"Useful , thanks bro",pos
i got some problems with it. Everytime when i trun off and turn on my pc most of my start up programs just never get started with Windows and every time i done this even  i choose the option to start them up with windows its just magicly turn them self off every time i check after restart or turn on my pc. I also reset all of my data all of my Windows files and its still the same i need you guys help.,pos
thank you finally someone smart,pos
"Thanks, Very helpful",pos
good and short vid ty it helped,pos
thank you it was very help full thank u soooooooo much,pos
Thanks!! super helpful!,pos
video was really helpful.......,pos
It's realy helped. Thanks,pos
This was so helpful,pos
thankyouu very much <3 it helps a lot,pos
Helpful thanks man,pos
"Thank you, my pc keeps trying to open an app that isn't even installed anymore so it keeps looping so I'm hoping this fixes it",pos
I was hoping to learn which programs I should disable. My puter has at least 3/4 dozen programs and I have zip  idea if I need them or not.,pos
Awesome. Thank you very much.,pos
thank you it did help 😊,pos
"thank you, you really helped me !",pos
Great job Kevin!,pos
realy good video but you forgot to mension a program called autoruns wich makes a better job than the normal statup menu!,pos
thank you it helped! i liked the video :),pos
thank you for nice information,pos
Thanks for the video.Can you tell me why when I disable it and exit still it will be on after restarting my computer!,pos
"you missed THE CRITICAL STEP in your video; How to startup your PC without ALL the startup programs. Because there are some programs like Riva Tuner that you can't uninstall while they're running, and if you try to even stop them from the task manager they will keep restarting. And windows doesn't give you an option to force stop a program when trying to uninstall it. So starting your PC up and Windows without ANY of the startup programs is a critical step you skipped over. It's one of the reasons I am searching on youtube how to uninstall start up programs. And when I go to startup programs, in this case, Riva tuner isn't even there in the list of startup apps.",pos
I like when people get right into it.....,pos
"Hi, when i on my laptop there goes powerpoint pop up. How to turn it off? I try follow this guide but there's no icon for powerpoint",pos
THX MY GUY I COULD NOT THANK U ENOUGH,pos
"Thanks for this video! But for some reason, Discord opens when I startup my computer, but it isn’t showing up as a startup app? Have any idea why this might be?",pos
Thankz it realy helped me,pos
Thanks for helping me.,pos
"I have just the opposite problem - I check some apps I want to startup when I start my computer and I select them and the next time I startup my computer, I find that those apps have ""unchecked"" themselves and don't start... how do I get my computer to stop doing that?",pos
Thanks for help 🙂,pos
"Thanks for this....


You have indeed solve a great problem I have been battling with for years.


I really appreciate man.


Thumbs up.



In Nigerian: we say God no go shame you and your mouth no go smell.



I appreciate this video of yours",pos
Thank you so much Kevin..,pos
"thank you, very helpful",pos
"helped a lot, thanks",pos
thankyou this helped a lot,pos
vry helpful tips . thx u,pos
This really helped me,pos
Thank you man ❤️👍❤️👍👍,pos
gamer my whole life on consoles. Didnt realise how many little things could go wrong youve helped me a lot but i have one problem icant fix. My cursors little blue circle keeps blinking or flickering. like its loading idk any ideas ?????,pos
In search bar write (startup app)..... Disable the app u want to disable just that,pos
"Hi Kevin, thanks for the video.  My Windows 10 computer won't shut down all the way.  I've looked at lots of videos and tried everything I know.  It still reboots no matter when I go to shut it down.  Any suggestions?  Thanks",pos
Bro you're my Hero!,pos
Thanks I had to do this because I was gaming during a lesson on teams and it said to my teacher ru was online because it booted upon startup 😀👍🏻,pos
"thanks, very helpful.",pos
"Thanks that was really helpful, I have a question though if I may
Some of the programs says High Impact, but when I start my PC they don't pop up unlike Microsoft, Steam, Discord, and other stuff, thus would it effect my PC in a bad way if I turn off the things that don't pop up, what if the PC needs that to be running smoothly??",pos
Thank you so much man!,pos
Thank you so much my discord and steam keeps auto start 😁😁👑👑,pos
Thanks helped a lot,pos
That Damn Microsoft edge Is annoying as balls you saved both my sanity And my school life,pos
mine says every app is off on startup apps but they still launch when turning on my pc,pos
thank you now i save me 10 min tyy!,pos
Thank you for this!,pos
THX BOSS YOU ARE AMAZING,pos
Thank you Kevin 👍,pos
Thank you so much 🔥,pos
thanks it really helped,pos
i didn't see startup in my settings but i found out that you can also open Task Manager and find startup apps there.,pos
Very nice information,pos
thanks dear for helping me,pos
"Thanks Kevin, but I've turned them all off except one, and my computer has an SSD drive and its still takes a long time to startup.  Any suggestions please?",pos
"Good presentation with no East Indian accent, fantastic.  LOL",pos
"thank you, microsoft teams was driving me fucking insane",pos
"1:54 I hate having 3 sound programs:
1. HD audio background process
2.Realtek Hd audio manager
3.Waves MixxAudioService application
I dont need 3 programs to do same thing with one to use?
And If any of programs are outdated they slow ur pc down alot",pos
"Thanks g, subbed and liked bc u deserve it",pos
"Hi Kevin

What is the difference between disabling apps using Startup Apps and disabling apps using Task Manager?",pos
This option was missing from my setting menu.... some apps i downloaded from store can’t run on startup. Even enabling it from task manager don’t help. It keep defaulted back to disable.,pos
"How to stop Microsoft pictures at computer start which slows up startup tremendously. Question is there any problem in turning off all the startup programs in the Start you showed on this video.
Thanks.",pos
Thank you for the post neighbor.,pos
IT DID!!! THANK YOU VERY MUCH,pos
Thank you very much. My God bless you as I have been. small things do add up.Go in Peace,pos
Thnx it helped so much,pos
"omg my pc starts up so f,ing fast thanks for the tip",pos
Thanks a lot dude!,pos
"Thx, 4 the info.",pos
in germany we call u ehrenmann mach weiter so. :),pos
thanks this helped alot,pos
Thank you!!!! I love you ❤️,pos
thanks bro its working!!,pos
Thanks so much brother,pos
Thanks,pos
Thanxx Bro,pos
"Quick question, there's this thing called Hotspot Shield. It keeps opening up whenever I open up my computer and I'm not sure if it's a virus or not. I've did all the steps on the video but I couldn't find the app on there for me to make it not open up. Any hints for me to solve this issue?",pos
"Not in my case, even the apps are turned off in start-up it's still starting during boot up.",pos
This is out of context but he looked a bit like Christian Gray in Fifty Shades of Gray lol.,pos
The Kevin cookie Company 😢😂😂❤❤❤,pos
thanks so much brother!,pos
"I looked into it & found only base running apps, all are either ""not measured"" or ""no impact"". Any more suggestions? It was loading pretty good then yesterday started taking quite a long time & freezes for 20 secs up to 2 mins & is glitching.  Thank you for your time & help.",pos
"What is the “program” program under your startup? I have the same thing, can’t figure out what it is",pos
Thank you👍👍,pos
Some startup programs do not show up in settings you have to remove them from the Registry.,pos
Nearly 1mil and also thank you,pos
How do you stop bing from opening alone when I restart my computer. It is not on the list you mentioned under startup,pos
"Great video
God bless you",pos
Thanks buddy 👏,pos
Thanks sir 🔥❤️,pos
was realyyyyyy helpfull tnx,pos
Thanks my pc is 50% faster now,pos
"some apps startups and turns on automatically even if i switch them off,how do i fix that??",pos
any program recommendations to help with PC speed up & to stop any programs running in the background,pos
"Hi, Can you show me how to change the installing apps only from Windows store? i can't change it. Hope you can help me for this",pos
Thankx bro :) appreciated,pos
My apps start even though I disabled them in the app and on the task manager.... help?!,pos
When I start my computer it ALWAYS starts Windows Edge. This is not on the start up list so how do I turn this off? I want to make Google my default browser and I have no idea how to do it. Thank you.,pos
tysm so much for the video the app that keep opening when i open the pc is gone tysm!,pos
Oh finaly !!! Thank You Soooo much,pos
Thank you 🙏,pos
Thx helped a lot,pos
Great job thank you,pos
Thanks Kevin very cool,pos
Thankyou so much ❤️,pos
gosh thx my laptop was like this for a week,pos
Thanks bro 🤝,pos
should i disable waves max audio ?,pos
"what is ..Program,,...the 6th one in startup ? Thankyou for help! I have the same and I disabled...is that wrong?",pos
Helped. Thank m8,pos
That was helpful ♥♥♥,pos
Thanks your the best!!,pos
How do I know what is safe to disable and what not to disable?,pos
video starts at 00:50.,pos
thank u it helped alot :),pos
Thanks 🙏 😊 alot man,pos
I can't get the startup option in the searching bar if I choose one I'm redirecting to the task manager startup,pos
"0:44 to skip intro
get tutorial!",pos
"Hi, when i on my laptop there goes powerpoint pop up. How to turn it off? I try follow this guide but there's no icon for powerpoint",pos
THX MY GUY I COULD NOT THANK U ENOUGH,pos
"Thanks for this video! But for some reason, Discord opens when I startup my computer, but it isn’t showing up as a startup app? Have any idea why this might be?",pos
Thankz it realy helped me,pos
Thanks for helping me.,pos
"I have just the opposite problem - I check some apps I want to startup when I start my computer and I select them and the next time I startup my computer, I find that those apps have ""unchecked"" themselves and don't start... how do I get my computer to stop doing that?",pos
Thanks for help 🙂,pos
"Thanks for this....


You have indeed solve a great problem I have been battling with for years.


I really appreciate man.


Thumbs up.



In Nigerian: we say God no go shame you and your mouth no go smell.



I appreciate this video of yours",pos
Thank you so much Kevin..,pos
"thank you, very helpful",pos
"helped a lot, thanks",pos
thankyou this helped a lot,pos
vry helpful tips . thx u,pos
This really helped me,pos
Thank you man ❤️👍❤️👍👍,pos
gamer my whole life on consoles. Didnt realise how many little things could go wrong youve helped me a lot but i have one problem icant fix. My cursors little blue circle keeps blinking or flickering. like its loading idk any ideas ?????,pos
In search bar write (startup app)..... Disable the app u want to disable just that,pos
"Hi Kevin, thanks for the video.  My Windows 10 computer won't shut down all the way.  I've looked at lots of videos and tried everything I know.  It still reboots no matter when I go to shut it down.  Any suggestions?  Thanks",pos
Bro you're my Hero!,pos
Thanks I had to do this because I was gaming during a lesson on teams and it said to my teacher ru was online because it booted upon startup 😀👍🏻,pos
"thanks, very helpful.",pos
"Thanks that was really helpful, I have a question though if I may
Some of the programs says High Impact, but when I start my PC they don't pop up unlike Microsoft, Steam, Discord, and other stuff, thus would it effect my PC in a bad way if I turn off the things that don't pop up, what if the PC needs that to be running smoothly??",pos
Thank you so much man!,pos
Thank you so much my discord and steam keeps auto start 😁😁👑👑,pos
Thanks helped a lot,pos
That Damn Microsoft edge Is annoying as balls you saved both my sanity And my school life,pos
mine says every app is off on startup apps but they still launch when turning on my pc,pos
thank you now i save me 10 min tyy!,pos
Thank you for this!,pos
THX BOSS YOU ARE AMAZING,pos
Thank you Kevin 👍,pos
Thank you so much 🔥,pos
thanks it really helped,pos
i didn't see startup in my settings but i found out that you can also open Task Manager and find startup apps there.,pos
Very nice information,pos
thanks dear for helping me,pos
"Thanks Kevin, but I've turned them all off except one, and my computer has an SSD drive and its still takes a long time to startup.  Any suggestions please?",pos
"Good presentation with no East Indian accent, fantastic.  LOL",pos
"thank you, microsoft teams was driving me fucking insane",pos
"1:54 I hate having 3 sound programs:
1. HD audio background process
2.Realtek Hd audio manager
3.Waves MixxAudioService application
I dont need 3 programs to do same thing with one to use?
And If any of programs are outdated they slow ur pc down alot",pos
"Thanks g, subbed and liked bc u deserve it",pos
"Hi Kevin

What is the difference between disabling apps using Startup Apps and disabling apps using Task Manager?",pos
This option was missing from my setting menu.... some apps i downloaded from store can’t run on startup. Even enabling it from task manager don’t help. It keep defaulted back to disable.,pos
"How to stop Microsoft pictures at computer start which slows up startup tremendously. Question is there any problem in turning off all the startup programs in the Start you showed on this video.
Thanks.",pos
Thank you for the post neighbor.,pos
IT DID!!! THANK YOU VERY MUCH,pos
Thank you very much. My God bless you as I have been. small things do add up.Go in Peace,pos
Thnx it helped so much,pos
"omg my pc starts up so f,ing fast thanks for the tip",pos
Thanks a lot dude!,pos
"Thx, 4 the info.",pos
in germany we call u ehrenmann mach weiter so. :),pos
thanks this helped alot,pos
Thank you!!!! I love you ❤️,pos
thanks bro its working!!,pos
Thanks so much brother,pos
Thanks,pos
Thanxx Bro,pos
"Quick question, there's this thing called Hotspot Shield. It keeps opening up whenever I open up my computer and I'm not sure if it's a virus or not. I've did all the steps on the video but I couldn't find the app on there for me to make it not open up. Any hints for me to solve this issue?",pos
"Not in my case, even the apps are turned off in start-up it's still starting during boot up.",pos
This is out of context but he looked a bit like Christian Gray in Fifty Shades of Gray lol.,pos
The Kevin cookie Company 😢😂😂❤❤❤,pos
thanks so much brother!,pos
